ph,hardness,tds,chlorine,sulfate,conductivity,organic_carbon,trihalomethanes,turbidity,potability
7.14,440.98,614.26,2.12,208.39,350.92,7.22,17.32,2.23,0
6.41,242.82,387.89,3.93,313.1,153.36,9.92,20.69,2.07,0
6.29,133.09,225.55,1.46,332.04,1420.43,8.76,32.87,5.05,0
7.39,71.89,459.23,0.56,609.63,24142.89,9.62,42.8,2.26,0
6.31,273.01,308.99,0.64,52.59,196.85,1.05,133.38,5.3,0
5.79,377.09,252.26,3.02,152.95,77.31,11.21,197.56,1.5,0
5.74,209.58,185.39,0.22,104.71,398.26,8.44,38.83,1.14,0
6.98,444.42,767.34,3.66,304.14,2426.02,11.28,51.66,1.36,0
7.39,78.73,314.03,1.18,360.57,2605.07,11.34,57.36,1.28,0
7.86,220.85,200.24,0.83,146.25,1432.91,7.63,119.78,1.94,0
7.14,24.22,229.4,3.81,181.91,2255.86,10.43,56.89,4.31,0
6.05,174.22,349.66,1.2,2.76,328.94,10.91,74.99,3.4,0
6.73,231.98,142.42,1.8,296.82,1520.66,9.42,0.29,3.35,1
9.43,308.09,907.5,5.87,121.64,2750.99,0.37,108.45,1.54,0
7.13,353.82,331.99,2.92,533.32,424.48,5.4,7.99,0.67,0
7.94,128.43,596.65,1.8,317.24,2363.11,9.49,116.32,1.95,0
7.44,296.06,397.33,1.8,67.42,2095.86,7.3,61.22,1.95,0
6.46,348.61,341.84,3.0,325.77,1111.46,4.29,190.73,7.25,0
8.23,302.56,,1.57,250.69,1067.41,4.05,42.43,1.94,1
8.05,1002.05,283.46,1.07,322.87,1818.51,2.45,23.88,4.05,0
9.83,45.04,420.02,5.05,316.21,2246.97,5.14,33.35,1.69,0
6.32,356.57,999.2,2.12,219.52,942.85,8.22,39.16,2.15,0
6.12,184.84,869.86,2.87,194.4,1483.32,11.83,39.97,5.19,0
6.41,105.46,140.03,2.91,64.99,809.06,7.31,57.83,1.82,1
7.04,223.33,366.44,4.07,372.56,235.13,6.5,164.73,4.79,0
6.15,158.31,291.28,2.29,304.92,2094.01,3.76,114.31,3.22,0
8.12,283.54,131.96,3.16,118.91,160.21,0.52,50.66,0.76,1
6.29,986.37,188.91,3.34,294.05,444.79,4.49,35.93,5.17,0
6.48,381.09,327.57,4.08,422.08,1825.99,5.03,94.28,0.2,0
5.8,44.28,291.43,2.59,210.05,2270.26,8.59,24.97,0.89,0
9.93,20.52,804.61,4.02,205.41,1345.84,1.07,46.39,4.36,0
5.62,333.31,292.63,0.35,249.0,674.05,13.74,121.94,4.25,0
9.59,173.35,260.35,1.98,356.8,1688.31,0.68,81.09,3.31,0
6.99,176.98,184.71,1.12,257.94,1770.76,11.94,79.06,1.17,0
6.96,76.72,286.66,3.23,98.77,1652.0,11.67,104.88,3.94,0
6.04,42.35,240.39,3.63,110.51,1084.46,2.44,70.4,4.84,0
6.28,304.52,285.16,1.05,251.98,2602.91,9.91,124.74,2.55,0
7.7,388.1,132.43,4.04,378.97,1363.83,1.63,123.84,1.97,0
6.95,232.92,297.1,1.97,37.81,793.37,4.81,112.51,1.64,0
6.96,305.74,142.61,3.17,299.01,1046.42,11.58,5.72,6.26,0
9.88,295.64,141.07,2.43,302.12,1445.51,8.39,58.94,3.51,0
7.5,291.52,348.94,3.23,144.47,801.42,5.56,117.15,3.11,0
7.58,89.78,327.18,3.1,196.85,593.63,11.19,45.97,2.33,0
6.48,129.71,332.11,3.98,71.26,2749.54,9.29,41.66,1.41,0
7.79,112.65,347.12,2.66,372.21,813.94,8.85,8.97,11.39,0
6.5,343.65,288.22,1.98,,887.57,8.49,5.88,3.91,1
6.11,441.63,229.84,4.18,265.33,900.15,2.44,51.11,1.16,0
7.14,267.41,287.63,4.35,194.22,856.21,6.98,66.53,3.8,0
7.06,118.47,,3.95,210.68,,10.99,54.89,1.98,0
6.86,272.76,229.37,1.35,53.61,1368.66,4.08,54.43,3.71,1
7.36,307.13,89.01,4.12,87.01,1969.55,8.09,58.76,3.44,0
6.3,410.7,304.14,1.06,134.46,2229.78,6.73,6.92,0.9,0
9.95,325.1,,8.86,462.95,1607.4,9.18,55.16,6.52,0
7.35,267.04,104.56,0.93,439.99,45.96,0.83,24.22,0.85,0
7.69,757.89,110.33,1.59,396.37,2301.07,11.84,2.46,4.76,0
,328.63,204.59,2.15,236.25,321.48,3.86,83.34,2.62,1
7.41,325.92,238.67,2.28,203.48,1301.43,6.87,2.23,1.85,1
8.14,173.81,109.58,3.91,40.06,778.32,8.59,60.15,11.1,0
8.26,254.96,184.52,4.11,161.5,1509.12,11.12,35.24,2.15,0
6.34,261.25,222.47,4.03,430.79,2480.13,4.96,89.54,4.49,0
6.23,318.45,382.75,4.44,148.25,1517.49,10.2,112.98,0.28,0
8.12,409.57,87.62,3.6,252.22,1154.72,9.28,35.59,3.18,0
7.65,379.02,420.06,1.36,651.34,2731.42,4.68,112.6,3.3,0
8.19,277.77,793.29,2.15,351.37,924.1,9.99,22.57,0.64,0
7.39,437.73,630.84,0.99,240.27,1327.26,8.37,112.59,1.39,0
7.86,323.86,,2.12,266.67,1317.85,4.28,111.14,4.16,0
6.56,117.29,100.09,0.14,106.83,575.48,9.61,81.93,4.71,1
6.97,326.14,163.29,2.46,399.38,2144.32,7.02,79.64,1.46,0
8.24,444.69,,1.43,230.31,1135.83,10.18,110.94,1.53,0
7.43,443.47,279.24,1.73,379.6,1841.22,7.39,144.36,8.0,0
6.48,234.47,585.46,3.34,482.61,1861.88,9.98,26.66,3.12,0
7.94,442.16,301.99,4.34,275.58,1100.16,5.22,30.67,5.29,0
6.05,376.68,355.92,0.36,290.54,1307.9,6.91,174.46,5.49,0
8.74,134.05,332.58,3.74,127.98,898.38,4.2,16.66,3.5,0
8.85,249.44,274.98,3.61,241.09,397.62,10.38,84.85,1.14,0
5.62,262.78,0.75,1.07,288.69,1637.6,7.27,64.28,5.37,0
7.77,58.32,313.98,3.38,240.97,1087.43,5.6,23.91,2.55,1
7.47,242.57,128.83,2.6,176.67,438.24,5.04,94.47,0.37,1
8.42,60.92,149.65,0.96,274.79,2363.32,10.43,88.6,1.2,0
7.2,242.06,259.11,1.74,484.63,1723.98,3.76,106.27,11.2,0
7.76,252.25,222.64,0.05,348.38,2472.9,7.25,61.67,1.95,0
6.11,446.03,1045.99,2.81,89.04,1846.33,11.08,97.58,2.75,0
8.14,299.06,241.61,3.82,182.38,1015.19,10.19,105.88,2.8,0
9.69,145.56,7.89,3.63,293.37,1429.17,6.94,41.93,1.43,0
6.89,78.11,349.53,2.86,265.51,1358.69,9.16,89.24,2.82,1
6.05,130.65,354.82,2.68,297.92,451.04,10.87,8.18,0.79,0
7.92,252.74,681.43,2.56,161.2,822.94,4.5,98.11,2.89,0
6.77,40.5,216.7,1.74,63.6,25313.75,1.44,84.39,2.35,0
7.76,366.17,249.38,1.25,131.98,770.55,2.01,7.82,1.51,1
7.47,402.27,336.74,1.67,91.09,1714.17,8.02,7.3,3.98,0
8.31,229.04,304.93,4.59,228.82,965.1,9.32,203.43,3.85,0
6.71,574.44,658.75,0.24,297.53,1238.77,5.64,12.54,1.34,0
7.64,277.96,495.29,1.99,169.51,378.33,4.78,50.01,1.13,0
7.17,719.23,155.89,2.33,166.0,2622.15,9.72,79.27,3.2,0
6.94,374.48,394.38,2.64,85.11,2381.92,7.89,28.42,4.02,0
7.08,377.01,307.12,2.07,80.6,330.14,8.62,28.42,1.25,1
6.44,373.17,214.48,3.69,273.22,2665.26,3.08,117.1,4.17,0
6.97,342.89,136.68,3.92,375.77,1699.18,8.46,45.76,3.87,0
7.52,293.23,133.58,3.84,247.65,2062.32,7.58,51.63,5.25,0
6.31,288.57,944.58,0.42,263.57,1797.92,11.21,86.8,2.66,0
7.08,154.19,130.04,2.51,87.49,1099.41,11.14,0.67,2.44,0
6.1,156.72,354.75,2.34,124.0,2092.65,8.6,169.41,3.89,0
5.28,110.99,144.67,0.42,246.08,2306.63,7.71,51.16,1.62,0
